order_id,customer_id,order_date,product_id,quantity,order_status,discount
1,392,2019-06-11,275,4,Returned,0.16
2,953,2022-10-03,33,1,Returned,0.26
3,777,2022-12-18,97,2,Returned,0.22
4,384,2021-03-06,196,3,Returned,0.16
5,956,2020-01-27,108,2,Cancelled,0.2
6,955,2018-06-12,465,3,Shipped,0.2
7,631,2020-08-08,491,4,Shipped,0.26
8,827,2022-01-24,360,4,Returned,0.11
9,172,2020-05-29,390,1,Shipped,0.15
10,718,2018-05-27,387,2,Returned,0.14
11,928,2021-04-20,241,4,Cancelled,0.03
12,487,2019-08-18,379,1,Cancelled,0.07
13,852,2020-12-11,257,1,Cancelled,0.09
14,214,2020-01-25,414,1,Shipped,0.03
15,779,2020-10-08,43,1,Cancelled,0.15
16,855,2018-10-14,227,4,Shipped,0.14
17,833,2019-12-11,444,4,Returned,0.23
18,194,2019-01-17,181,2,Returned,0.23
19,131,2019-08-08,311,4,Shipped,0.28
20,742,2019-08-14,437,3,Cancelled,0.1
21,588,2018-03-04,367,3,Shipped,0.1
22,34,2020-11-16,396,2,Cancelled,0.29
23,124,2020-05-26,115,4,Returned,0.19
24,939,2022-12-27,213,3,Cancelled,0.28
25,264,2018-10-28,107,1,Cancelled,0.17
26,483,2022-08-18,38,3,Shipped,0.09
27,756,2022-07-04,289,3,Returned,0.17
28,178,2021-02-26,302,1,Cancelled,0.24
29,585,2019-06-09,222,1,Cancelled,0.25
30,521,2019-12-15,92,3,Returned,0.13
31,240,2021-09-12,233,1,Returned,0.1
32,885,2022-02-01,320,4,Returned,0.2
33,674,2018-10-27,125,2,Cancelled,0.27
34,72,2021-10-16,39,2,Shipped,0.01
35,998,2022-10-02,488,2,Returned,0.1
36,390,2021-12-07,92,4,Shipped,0.1
37,805,2019-05-21,480,3,Cancelled,0.12
38,260,2019-04-03,298,3,Shipped,0.1
39,679,2022-12-08,253,2,Cancelled,0.13
40,164,2018-02-22,116,4,Shipped,0.17
41,954,2018-12-25,240,4,Cancelled,0.17
42,150,2022-02-02,208,3,Returned,0.02
43,923,2022-04-27,251,3,Shipped,0.1
44,556,2021-11-29,172,2,Cancelled,0.24
45,938,2019-06-10,357,4,Returned,0.09
46,852,2018-03-30,59,1,Returned,0.16
47,669,2022-05-08,320,1,Cancelled,0.22
48,407,2021-12-11,98,3,Shipped,0.1
49,852,2020-01-27,234,4,Returned,0.04
50,916,2018-12-10,318,4,Returned,0.21
51,354,2018-06-26,230,1,Cancelled,0.23
52,47,2020-12-05,79,4,Returned,0.23
53,542,2021-05-16,316,1,Returned,0.22
54,552,2022-02-08,395,3,Shipped,0.25
55,301,2021-03-25,284,2,Returned,0.18
56,261,2022-07-02,306,4,Cancelled,0.14
57,265,2022-10-03,278,1,Shipped,0.09
58,857,2018-01-06,295,4,Shipped,0.26
59,520,2022-12-02,272,3,Returned,0.12
