order_id,customer_id,order_date,product_id,quantity,order_status,discount,return_id,return_reason,feedback
1,392,2019-06-11,275,4,Returned,0.16,1,Incorrect item,Quick process
2,953,2022-10-03,33,1,Returned,0.26,2,Incorrect item,Quick process
3,777,2022-12-18,97,2,Returned,0.22,3,Damaged,Happy with return
4,384,2021-03-06,196,3,Returned,0.16,4,Damaged,Quick process
8,827,2022-01-24,360,4,Returned,0.11,5,Not satisfied,Delayed refund
10,718,2018-05-27,387,2,Returned,0.14,6,Damaged,Delayed refund
17,833,2019-12-11,444,4,Returned,0.23,7,Incorrect item,Happy with return
18,194,2019-01-17,181,2,Returned,0.23,8,Incorrect item,Quick process
23,124,2020-05-26,115,4,Returned,0.19,9,Not satisfied,Happy with return
27,756,2022-07-04,289,3,Returned,0.17,10,Incorrect item,Delayed refund
30,521,2019-12-15,92,3,Returned,0.13,11,Damaged,Quick process
31,240,2021-09-12,233,1,Returned,0.1,12,Damaged,Happy with return
32,885,2022-02-01,320,4,Returned,0.2,13,Not satisfied,Delayed refund
35,998,2022-10-02,488,2,Returned,0.1,14,Incorrect item,Delayed refund
42,150,2022-02-02,208,3,Returned,0.02,15,Incorrect item,Delayed refund
45,938,2019-06-10,357,4,Returned,0.09,16,Not satisfied,Delayed refund
46,852,2018-03-30,59,1,Returned,0.16,17,Incorrect item,Quick process
49,852,2020-01-27,234,4,Returned,0.04,18,Incorrect item,Quick process
50,916,2018-12-10,318,4,Returned,0.21,19,Damaged,Happy with return
52,47,2020-12-05,79,4,Returned,0.23,20,Damaged,Quick process
53,542,2021-05-16,316,1,Returned,0.22,21,Damaged,Happy with return
55,301,2021-03-25,284,2,Returned,0.18,22,Damaged,Quick process
59,520,2022-12-02,272,3,Returned,0.12,23,Incorrect item,Happy with return
60,527,2018-02-21,198,3,Returned,0.28,24,Incorrect item,Quick process
61,342,2018-04-18,231,1,Returned,0.29,25,Not satisfied,Delayed refund
62,577,2021-06-27,241,1,Returned,0.25,26,Incorrect item,Quick process
64,307,2021-01-02,429,3,Returned,0.11,27,Incorrect item,Happy with return
65,292,2020-08-28,158,2,Returned,0.03,28,Incorrect item,Happy with return
66,652,2021-05-15,238,3,Returned,0.2,29,Damaged,Happy with return
67,498,2018-05-25,355,1,Returned,0.09,30,Incorrect item,Delayed refund
69,118,2020-11-04,499,1,Returned,0.26,31,Not satisfied,Quick process
71,676,2018-01-19,301,2,Returned,0.12,32,Incorrect item,Quick process
80,528,2019-04-28,368,2,Returned,0.15,33,Incorrect item,Delayed refund
83,55,2020-04-17,325,3,Returned,0.18,34,Not satisfied,Happy with return
86,250,2022-05-23,391,3,Returned,0.16,35,Not satisfied,Quick process
87,130,2022-05-29,460,2,Returned,0,36,Not satisfied,Happy with return
90,216,2022-08-25,409,1,Returned,0.06,37,Damaged,Quick process
100,436,2020-08-13,212,4,Returned,0.15,38,Incorrect item,Delayed refund
102,288,2021-08-05,372,2,Returned,0.09,39,Not satisfied,Quick process
103,906,2019-08-09,439,2,Returned,0.19,40,Damaged,Delayed refund
104,782,2022-03-15,83,2,Returned,0.1,41,Not satisfied,Quick process
107,586,2022-09-12,127,1,Returned,0.29,42,Incorrect item,Quick process
